brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,allergy_source_url,image_url,description,media_source_url,media_checked_at
맥도날드,에그 맥머핀,단품,306.0,19.0,5.0,3.0,712.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,베이컨 에그 맥머핀,단품,327.0,19.0,6.0,3.0,687.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,베이컨 토마토 에그 머핀,단품,341.0,17.0,3.6,5.0,666.0,계란|대두|밀|돼지고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,소시지 에그 맥머핀,단품,432.0,23.0,9.0,3.0,835.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,디럭스 브렉퍼스트,단품,768.0,29.0,9.0,11.0,1365.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,핫케익 2조각,단품,223.0,6.0,1.1,8.0,342.0,계란|우유|대두|밀,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,핫케익 3조각,단품,335.0,9.0,1.7,12.0,513.0,계란|우유|대두|밀,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,치킨 치즈 머핀,단품,498.0,23.0,6.0,3.0,1277.0,계란|우유|대두|밀|닭고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,그릴드 치킨 모닝 버거,단품,358.0,19.0,4.4,9.0,913.0,계란|우유|대두|밀|쇠고기|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,더블 그릴드 치킨 모닝 버거,단품,414.0,30.0,4.6,9.0,1262.0,계란|우유|대두|밀|쇠고기|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,진주 고추 크림치즈 머핀,단품,523.0,23.0,7.0,5.0,1394.0,계란|우유|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,해쉬 브라운,스낵 & 사이드,162.0,2.0,0.8,0.0,345.0,대두,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,빅맥®,버거,582.0,27.0,11.0,8.0,902.0,계란|우유|대두|밀|쇠고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,맥스파이시® 상하이버거,버거,528.0,22.0,3.2,9.0,952.0,계란|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,1955® 버거,버거,572.0,29.0,10.0,15.0,930.0,계란|우유|대두|밀|돼지고기|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,맥치킨® 모짜렐라,버거,735.0,29.0,7.0,18.0,1807.0,계란|우유|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,맥치킨®,버거,515.0,19.0,3.6,7.0,1148.0,계란|대두|밀|닭고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,더블 불고기버거,버거,635.0,26.0,13.0,15.0,997.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,불고기버거,버거,408.0,14.0,6.0,14.0,670.0,계란|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,슈슈버거,버거,431.0,13.0,1.9,13.0,758.0,계란|우유|대두|밀|새우|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,슈비버거,버거,573.0,22.0,6.0,15.0,951.0,계란|우유|대두|밀|새우|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,더블 쿼터파운더® 치즈,버거,770.0,50.0,20.0,10.0,1151.0,우유|대두|밀|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,베이컨 토마토 디럭스,버거,570.0,29.0,11.0,14.0,933.0,계란|우유|대두|밀|돼지고기|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
맥도날드,쿼터파운더®치즈,버거,536.0,31.0,13.0,10.0,966.0,우유|대두|밀|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,,,,
